Animal_ID,Sex,Age2,LocalTime,KPH,Sn,AGL0,VerticalRate,abs_angle,absVR
105,F,Fledgling,7/4/19 9:01,32.81,6.89,0.02,-0.002166745,0.006277195,0.002166745
105,F,Fledgling,7/4/19 9:01,29.63,7.79,0,-0.12,0.57,0.12
106,F,Fledgling,7/6/19 7:02,35.42,8.58,13.15,0.49,2.01,0.49
106,F,Fledgling,7/6/19 7:02,32.87,9.13,10.88,-0.45,1.1,0.45
106,F,Fledgling,7/6/19 7:02,35.37,10.01,7.28,-0.72,0.37,0.72
106,F,Fledgling,7/6/19 7:02,36.55,10.04,2.08,-0.86,0.9,0.86
106,F,Fledgling,7/6/19 7:19,38.09,8.04,16.08,-1.1,0.1,1.1
106,F,Fledgling,7/6/19 7:19,9.94,8.14,17.44,0.27,0.36,0.27
106,F,Fledgling,7/7/19 19:38,38.59,10.94,4.52,0.02,0.87,0.02
106,F,Fledgling,7/7/19 19:38,23.83,9.03,4.94,0.06,0.52,0.06
106,F,Fledgling,7/8/19 13:15,33.39,6.85,19.08,-0.84,1,0.84
106,F,Fledgling,7/8/19 13:15,26.4,8.4,20.15,0.17,0.18,0.17
106,F,Fledgling,7/8/19 13:19,19.22,7.67,42.95,1.55,1.89,1.55
106,F,Fledgling,7/8/19 13:19,41.31,5.95,51.22,1.37,2.06,1.37
106,F,Fledgling,7/8/19 13:19,22.83,8.88,58.05,1.36,2.95,1.36
106,F,Fledgling,7/8/19 13:19,23.46,8.06,53.85,-0.84,0.59,0.84
106,F,Fledgling,7/8/19 13:20,29.22,7.52,60.63,1.35,2.76,1.35
106,F,Fledgling,7/8/19 13:20,67.35,10.51,57.22,-0.68,1.4,0.68
106,F,Fledgling,7/8/19 13:20,26.29,7.82,66.05,1.76,2.68,1.76
106,F,Fledgling,7/8/19 13:20,41.35,5.54,71.22,1.03,1.68,1.03
106,F,Fledgling,7/8/19 13:20,39.16,11.94,77.25,1.2,2.38,1.2
106,F,Fledgling,7/8/19 13:20,26.5,5.55,78.26,0.2,1.32,0.2
106,F,Fledgling,7/8/19 13:20,29.5,7.09,81.13,0.57,0.42,0.57
106,F,Fledgling,7/8/19 13:20,29.22,7.8,65.63,-3.09,0.32,3.09
106,F,Fledgling,7/8/19 13:20,29.13,8.25,61.87,-0.75,1.57,0.75
106,F,Fledgling,7/8/19 13:20,36.26,7.42,57.44,-0.73,0.65,0.73
106,F,Fledgling,7/8/19 13:20,24.92,5.4,56.44,-0.19,2.7,0.19
106,F,Fledgling,7/8/19 13:20,55.94,11.15,44.87,-2.31,1.74,2.31
106,F,Fledgling,7/8/19 13:21,23.11,8.87,36.85,-1.33,2.43,1.33
106,F,Fledgling,7/8/19 13:21,21.89,8.48,18.63,-3.64,0.06,3.64
106,F,Fledgling,7/9/19 8:52,38.22,11.17,15.95,-1.42,0.05,1.42
106,F,Fledgling,7/9/19 8:52,36.03,10.96,13.95,-0.4,0.6,0.4
106,F,Fledgling,7/9/19 8:52,34.85,9.22,12.44,-0.25,0.35,0.25
106,F,Fledgling,7/9/19 8:52,36.15,9.76,10.64,-0.3,0.34,0.3
106,F,Fledgling,7/9/19 14:37,40,10.04,10.35,-1.14,1.31,1.14
106,F,Fledgling,7/9/19 14:37,30.29,6.64,9.74,-0.1,2,0.1
106,F,Fledgling,7/9/19 14:37,51.78,10.72,6.67,-0.51,0.48,0.51
106,F,Fledgling,7/9/19 14:37,40.68,12.87,4.26,-0.48,1.09,0.48
106,F,Fledgling,7/9/19 14:37,26.31,8.62,2.88,-0.27,2.9,0.27
106,F,Fledgling,7/9/19 14:37,43.59,8.57,3.26,0.07,0.05,0.07
106,F,Fledgling,7/9/19 14:37,22.07,10.24,0.08,-0.63,0.98,0.63
106,F,Fledgling,7/10/19 5:34,49.04,14.92,31.11,0.42,0.49,0.42
106,F,Fledgling,7/10/19 5:34,57.26,14.32,24.9,-1.24,0.59,1.24
106,F,Fledgling,7/10/19 5:34,44.54,12.69,23.89,-0.2,0.06,0.2
